2023-02-24 12:34:51,573 INFO    StreamThr :15572 [internal.py:wandb_internal():87] W&B internal server running at pid: 15572, started at: 2023-02-24 12:34:51.572575
2023-02-24 12:34:51,575 DEBUG   HandlerThread:15572 [handler.py:handle_request():144] handle_request: status
2023-02-24 12:34:51,576 INFO    WriterThread:15572 [datastore.py:open_for_write():85] open: C:\Users\liamb\Documents\graph4stackoverflow\embeddings\wandb\run-20230224_123451-o6eekle7\run-o6eekle7.wandb
2023-02-24 12:34:51,581 DEBUG   SenderThread:15572 [sender.py:send():336] send: header
2023-02-24 12:34:51,639 DEBUG   SenderThread:15572 [sender.py:send():336] send: run
2023-02-24 12:34:52,001 INFO    SenderThread:15572 [dir_watcher.py:__init__():216] watching files in: C:\Users\liamb\Documents\graph4stackoverflow\embeddings\wandb\run-20230224_123451-o6eekle7\files
2023-02-24 12:34:52,001 INFO    SenderThread:15572 [sender.py:_start_run_threads():1067] run started: o6eekle7 with start time 1677242091.573574
2023-02-24 12:34:52,002 DEBUG   SenderThread:15572 [sender.py:send_request():363] send_request: summary_record
2023-02-24 12:34:52,002 INFO    SenderThread:15572 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
2023-02-24 12:34:52,003 DEBUG   HandlerThread:15572 [handler.py:handle_request():144] handle_request: check_version
2023-02-24 12:34:52,004 DEBUG   SenderThread:15572 [sender.py:send_request():363] send_request: check_version
2023-02-24 12:34:52,093 DEBUG   HandlerThread:15572 [handler.py:handle_request():144] handle_request: run_start
2023-02-24 12:34:52,111 DEBUG   HandlerThread:15572 [system_info.py:__init__():31] System info init
2023-02-24 12:34:52,111 DEBUG   HandlerThread:15572 [system_info.py:__init__():46] System info init done
2023-02-24 12:34:52,111 INFO    HandlerThread:15572 [system_monitor.py:start():151] Starting system monitor
2023-02-24 12:34:52,112 INFO    SystemMonitor:15572 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-02-24 12:34:52,112 INFO    HandlerThread:15572 [system_monitor.py:probe():172] Collecting system info
2023-02-24 12:34:52,115 INFO    SystemMonitor:15572 [interfaces.py:start():168] Started cpu
2023-02-24 12:34:52,115 DEBUG   HandlerThread:15572 [system_info.py:probe():195] Probing system
2023-02-24 12:34:52,116 INFO    SystemMonitor:15572 [interfaces.py:start():168] Started disk
2023-02-24 12:34:52,116 INFO    SystemMonitor:15572 [interfaces.py:start():168] Started memory
2023-02-24 12:34:52,133 INFO    SystemMonitor:15572 [interfaces.py:start():168] Started network
2023-02-24 12:34:52,134 DEBUG   HandlerThread:15572 [system_info.py:_probe_git():180] Probing git
2023-02-24 12:34:52,239 DEBUG   HandlerThread:15572 [system_info.py:_probe_git():188] Probing git done
2023-02-24 12:34:52,239 DEBUG   HandlerThread:15572 [system_info.py:probe():241] Probing system done
2023-02-24 12:34:52,239 DEBUG   HandlerThread:15572 [system_monitor.py:probe():181] {'os': 'Windows-10-10.0.19041-SP0', 'python': '3.8.1', 'heartbeatAt': '2023-02-24T12:34:52.115855', 'startedAt': '2023-02-24T12:34:51.557575', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'C:\\Users\\liamb\\Documents\\graph4stackoverflow\\embeddings\\hetero_GAT.py', 'codePath': 'embeddings\\hetero_GAT.py', 'git': {'remote': 'https://git.soton.ac.uk/lhb1g20/graph4stackoverflow.git', 'commit': 'ced992d661984f7b87d1a3e76768e4ff7af78245'}, 'email': 'liambyrneh@gmail.com', 'root': 'C:/Users/liamb/Documents/graph4stackoverflow', 'host': 'DESKTOP-P7BETFF', 'username': 'liamb', 'executable': 'C:\\Users\\liamb\\Documents\\graph4stackoverflow\\venv\\Scripts\\python.exe', 'cpu_count': 2, 'cpu_count_logical': 4, 'cpu_freq': {'current': 3504.0, 'min': 0.0, 'max': 3504.0}, 'cpu_freq_per_core': [{'current': 3504.0, 'min': 0.0, 'max': 3504.0}], 'disk': {'total': 475.71581649780273, 'used': 352.6499214172363}, 'memory': {'total': 31.89160919189453}}
2023-02-24 12:34:52,240 INFO    HandlerThread:15572 [system_monitor.py:probe():182] Finished collecting system info
2023-02-24 12:34:52,240 INFO    HandlerThread:15572 [system_monitor.py:probe():185] Publishing system info
2023-02-24 12:34:52,240 DEBUG   HandlerThread:15572 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-02-24 12:34:52,242 DEBUG   HandlerThread:15572 [system_info.py:_save_pip():67] Saving pip packages done
2023-02-24 12:34:52,244 INFO    HandlerThread:15572 [system_monitor.py:probe():187] Finished publishing system info
2023-02-24 12:34:52,253 DEBUG   SenderThread:15572 [sender.py:send():336] send: files
2023-02-24 12:34:52,254 INFO    SenderThread:15572 [sender.py:_save_file():1321] saving file wandb-metadata.json with policy now
2023-02-24 12:34:52,264 DEBUG   HandlerThread:15572 [handler.py:handle_request():144] handle_request: stop_status
2023-02-24 12:34:52,264 DEBUG   SenderThread:15572 [sender.py:send_request():363] send_request: stop_status
2023-02-24 12:34:52,266 DEBUG   HandlerThread:15572 [handler.py:handle_request():144] handle_request: partial_history
2023-02-24 12:34:52,436 DEBUG   SenderThread:15572 [sender.py:send():336] send: telemetry
2023-02-24 12:34:52,439 DEBUG   SenderThread:15572 [sender.py:send():336] send: history
2023-02-24 12:34:52,440 DEBUG   SenderThread:15572 [sender.py:send_request():363] send_request: summary_record
2023-02-24 12:34:52,441 INFO    SenderThread:15572 [sender.py:_save_file():1321] saving file wandb-summary.json with policy end
